ticker,horizon,model,n_periods,cum_return,ann_return,ann_vol,sharpe,max_drawdown,hit_rate,exposure
AAPL,63,pls,60,12.023652295066274,0.18663053469773394,0.2885731691670332,0.739733340302057,-0.36022560166591167,0.6181818181818182,0.9166666666666666
AAPL,63,lgbm,60,4.441647367743918,0.11956340162739365,0.29234279418438025,0.5345830551031153,-0.4363396756343093,0.6153846153846154,0.8666666666666667
AAPL,63,elasticnet,60,4.369655508279331,0.1185698134370039,0.3142024641039085,0.5170477421092426,-0.5103175385816479,0.5849056603773585,0.8833333333333333
AAPL,63,ridge,60,4.369655508279331,0.1185698134370039,0.3142024641039085,0.5170477421092426,-0.5103175385816479,0.5849056603773585,0.8833333333333333
AAPL,63,huber,60,4.361055698251139,0.11845029385324701,0.3145534920550722,0.5164765241403348,-0.5103175385816479,0.5818181818181818,0.9166666666666666
AAPL,63,xgb,60,4.156816629735781,0.11555789100927427,0.3166711824571717,0.507369948342863,-0.5103175385816479,0.6071428571428571,0.9333333333333333
AAPL,63,zero,60,0.0,0.0,0.0,,0.0,,0.0
JPM,5,buy_and_hold,756,9.505672092415628,0.16975503376662338,0.2510982496048751,0.752056850834032,-0.3958708528199649,0.5529100529100529,1.0
JPM,5,lgbm,756,0.9587105247681222,0.045838640906404216,0.15934587443987486,0.35897145870113367,-0.20459167447445092,0.4748858447488584,0.2896825396825397
JPM,5,pls,756,0.7988256294215237,0.03991842050932992,0.16732281314136688,0.3162231569845355,-0.3754905446841895,0.5015105740181269,0.43783068783068785
JPM,5,xgb,756,0.646430605791557,0.033799287970590175,0.15600490710952936,0.2890379819826025,-0.3015436993601768,0.5025906735751295,0.2552910052910053
JPM,5,lgbm_reg,756,0.4651830109887365,0.0257923555786872,0.1438376954286867,0.24710234405723117,-0.3025298866576772,0.475177304964539,0.1865079365079365
JPM,5,ridge,756,0.45768743850743543,0.025441668195127942,0.20108360903314113,0.22564848100748705,-0.4379143025086877,0.5091649694501018,0.6494708994708994
JPM,5,elasticnet,756,0.40264494264489303,0.02281365327553142,0.20091285261283062,0.2129100096963781,-0.41241946555949205,0.5080645161290323,0.656084656084656
JPM,5,huber,756,0.28978506438942153,0.017109762714963228,0.19499009737562728,0.18460418949907026,-0.556121172598582,0.4951923076923077,0.5502645502645502
JPM,5,hist_mean,756,-0.012452878726119998,-0.0008350555202253362,0.003215319461240225,-0.25819888974716115,-0.012452878726119998,0.0,0.0013227513227513227
JPM,5,zero,756,0.0,0.0,0.0,,0.0,,0.0
JPM,21,buy_and_hold,180,9.505672092415626,0.16975503376662338,0.24629225648169897,0.7655999715953866,-0.36374211176090065,0.6444444444444445,1.0
JPM,21,lgbm_reg,180,2.072706250186632,0.0777087350598924,0.16987181774242782,0.5228415226144077,-0.2874980307623558,0.6956521739130435,0.38333333333333336
JPM,21,pls,180,1.9314914586277054,0.07433380684854196,0.1886777746508465,0.4714362276328615,-0.319869966538988,0.6236559139784946,0.5166666666666667
JPM,21,ridge,180,1.6366687977946621,0.06676896378953412,0.22538147045696882,0.3985510532981719,-0.3367019695263189,0.5877862595419847,0.7277777777777777
JPM,21,huber,180,1.1549150132153456,0.0525159270514286,0.22060091672544166,0.3410517818032669,-0.3582988316032273,0.5737704918032787,0.6777777777777778
JPM,21,elasticnet,180,1.1587736940308293,0.052641467444040746,0.22859322886034614,0.33763183895639975,-0.3367019695263189,0.5789473684210527,0.7388888888888889
JPM,21,hist_mean,180,0.46666071862798386,0.025861293871585644,0.10047643657162281,0.30240550558462803,-0.20740500787619864,0.5909090909090909,0.24444444444444444
JPM,21,xgb,180,0.572068996549469,0.030618910329886173,0.1767944242971559,0.2556759352418457,-0.2974725571542566,0.5684210526315789,0.5277777777777778
JPM,21,lgbm,180,-0.07571019767299081,-0.005234891125303509,0.18329461966432514,0.060141632219567386,-0.40892686911568643,0.5555555555555556,0.6
JPM,21,zero,180,0.0,0.0,0.0,,0.0,,0.0
JPM,63,buy_and_hold,60,9.505672092415622,0.16975503376662338,0.25921543089796417,0.7419479777879374,-0.3637421117609009,0.6666666666666666,1.0
JPM,63,huber,60,4.2802864311739865,0.11731895225084288,0.22385845069037869,0.6088810853489387,-0.29981511027052,0.6888888888888889,0.75
JPM,63,hist_mean,60,1.9001401147085408,0.07356398080266557,0.18876521422177153,0.4689055974948455,-0.41203335956689413,0.6410256410256411,0.65
JPM,63,elasticnet,60,2.3390904775585306,0.083698683564992,0.23719977492739164,0.45685646031677457,-0.34956971634465095,0.625,0.8
JPM,63,ridge,60,1.9482247689000673,0.07474155035197616,0.23566767398941885,0.4223226961036491,-0.34956971634465095,0.6170212765957447,0.7833333333333333
JPM,63,lgbm_reg,60,0.9426946877501559,0.04526635165469162,0.22181283627544118,0.3049267819478164,-0.3221488251178525,0.5806451612903226,0.5166666666666667
JPM,63,xgb,60,0.4852599953994077,0.02672349172362254,0.22528048633941533,0.2230104850971423,-0.33501683962274664,0.4857142857142857,0.5833333333333334
JPM,63,lgbm,60,0.40164874194842715,0.022765208345454813,0.21623349147236984,0.20669020600918378,-0.3430565745977864,0.5,0.6
JPM,63,pls,60,-0.38610574266158315,-0.032005466564613116,0.24657615753401485,-0.008759640942675315,-0.5894522047225936,0.5128205128205128,0.65
JPM,63,zero,60,0.0,0.0,0.0,,0.0,,0.0
MSFT,5,buy_and_hold,756,20.309494177176596,0.2262288866878044,0.22830622058087574,1.0089438118702898,-0.34833611563999756,0.5925925925925926,1.0
MSFT,5,pls,756,4.096162786581814,0.11467831599266542,0.1290740338306824,0.9050684623688011,-0.1911318419130994,0.6244725738396625,0.3134920634920635
MSFT,5,huber,756,3.078729043521399,0.09825112554867665,0.1420950753160866,0.7298737613889358,-0.2145074564053452,0.5724381625441696,0.37433862433862436
MSFT,5,ridge,756,2.1334047050888945,0.07911509115752002,0.1369768857270243,0.6238396413003615,-0.20166060623023918,0.5640138408304498,0.38227513227513227
MSFT,5,lgbm_reg,756,1.7021770890344565,0.06851573133624855,0.12793316070743044,0.5815280394086361,-0.22191090089855747,0.5897435897435898,0.30952380952380953
MSFT,5,lgbm,756,1.7972108261329813,0.07098078751777237,0.14658565070084917,0.5407243035590777,-0.28320954963462885,0.555205047318612,0.4193121693121693
MSFT,5,elasticnet,756,1.4846284924417992,0.06255339700313556,0.13551964929081298,0.5149663531657254,-0.22130852711859128,0.5598591549295775,0.37566137566137564
MSFT,5,xgb,756,0.969459674556312,0.04622029291543961,0.13478236657804504,0.40246218651163174,-0.27517134017347245,0.5640138408304498,0.38227513227513227
MSFT,5,hist_mean,756,-0.04619866553465313,-0.0031483584269740295,0.007856859358311,-0.3973577555534002,-0.04885647665687687,0.25,0.005291005291005291
MSFT,5,zero,756,0.0,0.0,0.0,,0.0,,0.0
MSFT,21,buy_and_hold,180,20.309494177176596,0.2262288866878044,0.2055752696955887,1.1012607153361362,-0.3151524781892958,0.6055555555555555,1.0
