source,ticker,horizon,fold,scheme,window,model,weight
e1,AAPL,5,6,inv_mae,last3,pls,0.2181834132449574
e1,AAPL,5,6,inv_mae,last3,lgbm_reg,0.2180963323524558
e1,AAPL,5,6,inv_mae,last3,xgb,0.18671405582722958
e1,AAPL,5,7,inv_mae,last3,elasticnet,0.20275306136617335
e1,AAPL,5,7,inv_mae,last3,huber,0.18460673177038656
e1,AAPL,5,7,inv_mae,last3,pls,0.21677894271251494
e1,AAPL,5,7,inv_mae,last3,lgbm_reg,0.21102725005652698
e1,AAPL,5,7,inv_mae,last3,xgb,0.18483401409439804
e1,AAPL,5,8,inv_mae,last3,elasticnet,0.2051064820407746
e1,AAPL,5,8,inv_mae,last3,huber,0.18859326090965955
e1,AAPL,5,8,inv_mae,last3,pls,0.2242775312210318
e1,AAPL,5,8,inv_mae,last3,lgbm_reg,0.21077906123476195
e1,AAPL,5,8,inv_mae,last3,xgb,0.17124366459377222
e1,AAPL,5,9,inv_mae,last3,elasticnet,0.2010113278771874
e1,AAPL,5,9,inv_mae,last3,huber,0.19671045463927725
e1,AAPL,5,9,inv_mae,last3,pls,0.22476698434707798
e1,AAPL,5,9,inv_mae,last3,lgbm_reg,0.198421523441848
e1,AAPL,5,9,inv_mae,last3,xgb,0.17908970969460933
e1,AAPL,5,10,inv_mae,last3,elasticnet,0.19458741947011496
e1,AAPL,5,10,inv_mae,last3,huber,0.19916387129163424
e1,AAPL,5,10,inv_mae,last3,pls,0.22691187507326224
e1,AAPL,5,10,inv_mae,last3,lgbm_reg,0.21079715114751285
e1,AAPL,5,10,inv_mae,last3,xgb,0.16853968301747574
e1,AAPL,5,11,inv_mae,last3,elasticnet,0.19191622396013538
e1,AAPL,5,11,inv_mae,last3,huber,0.1924174858340092
e1,AAPL,5,11,inv_mae,last3,pls,0.23103097934322472
e1,AAPL,5,11,inv_mae,last3,lgbm_reg,0.2128434139924168
e1,AAPL,5,11,inv_mae,last3,xgb,0.1717918968702139
e1,AAPL,5,12,inv_mae,last3,elasticnet,0.20202982632085742
e1,AAPL,5,12,inv_mae,last3,huber,0.20171206678920775
e1,AAPL,5,12,inv_mae,last3,pls,0.22085901390645546
e1,AAPL,5,12,inv_mae,last3,lgbm_reg,0.2074291799113262
e1,AAPL,5,12,inv_mae,last3,xgb,0.16796991307215312
e1,AAPL,5,13,inv_mae,last3,elasticnet,0.20884660941353675
e1,AAPL,5,13,inv_mae,last3,huber,0.20170716273740827
e1,AAPL,5,13,inv_mae,last3,pls,0.20943422049240779
e1,AAPL,5,13,inv_mae,last3,lgbm_reg,0.19255853401042497
e1,AAPL,5,13,inv_mae,last3,xgb,0.1874534733462222
e1,AAPL,5,14,inv_mae,last3,elasticnet,0.20606039440311522
e1,AAPL,5,14,inv_mae,last3,huber,0.20012754948997374
e1,AAPL,5,14,inv_mae,last3,pls,0.20270689426185515
e1,AAPL,5,14,inv_mae,last3,lgbm_reg,0.19487596965246065
e1,AAPL,5,14,inv_mae,last3,xgb,0.1962291921925952
e1,AAPL,5,0,mae_da,expanding,elasticnet,0.2
e1,AAPL,5,0,mae_da,expanding,huber,0.2
e1,AAPL,5,0,mae_da,expanding,pls,0.2
e1,AAPL,5,0,mae_da,expanding,lgbm_reg,0.2
e1,AAPL,5,0,mae_da,expanding,xgb,0.2
e1,AAPL,5,1,mae_da,expanding,elasticnet,0.01998733159280648
e1,AAPL,5,1,mae_da,expanding,huber,0.0026350206917987434
e1,AAPL,5,1,mae_da,expanding,pls,0.145286263167312
e1,AAPL,5,1,mae_da,expanding,lgbm_reg,0.7065347931792145
e1,AAPL,5,1,mae_da,expanding,xgb,0.12555659136886818
e1,AAPL,5,2,mae_da,expanding,elasticnet,0.048418713842539235
e1,AAPL,5,2,mae_da,expanding,huber,0.06536495062713191
e1,AAPL,5,2,mae_da,expanding,pls,0.8227957487890769
e1,AAPL,5,2,mae_da,expanding,lgbm_reg,0.06070892203143703
e1,AAPL,5,2,mae_da,expanding,xgb,0.002711664709814699
e1,AAPL,5,3,mae_da,expanding,elasticnet,0.005993285807804251
e1,AAPL,5,3,mae_da,expanding,huber,0.0068974840737599016
e1,AAPL,5,3,mae_da,expanding,pls,0.04721699292289608
e1,AAPL,5,3,mae_da,expanding,lgbm_reg,0.681916476177817
e1,AAPL,5,3,mae_da,expanding,xgb,0.25797576101772285
e1,AAPL,5,4,mae_da,expanding,elasticnet,0.0054788344806927115
e1,AAPL,5,4,mae_da,expanding,huber,0.005918132740930361
e1,AAPL,5,4,mae_da,expanding,pls,0.28258080870026897
e1,AAPL,5,4,mae_da,expanding,lgbm_reg,0.6630536973684603
e1,AAPL,5,4,mae_da,expanding,xgb,0.04296852670964776
e1,AAPL,5,5,mae_da,expanding,elasticnet,0.004535379557974354
e1,AAPL,5,5,mae_da,expanding,huber,0.008042143829412597
e1,AAPL,5,5,mae_da,expanding,pls,0.19377586849973633
e1,AAPL,5,5,mae_da,expanding,lgbm_reg,0.656950286579687
e1,AAPL,5,5,mae_da,expanding,xgb,0.13669632153318972
e1,AAPL,5,6,mae_da,expanding,elasticnet,0.031104450058018627
e1,AAPL,5,6,mae_da,expanding,huber,0.0036612437955012484
e1,AAPL,5,6,mae_da,expanding,pls,0.43899172827951927
e1,AAPL,5,6,mae_da,expanding,lgbm_reg,0.48071858003051215
e1,AAPL,5,6,mae_da,expanding,xgb,0.04552399783644864
e1,AAPL,5,7,mae_da,expanding,elasticnet,0.02452609209536046
e1,AAPL,5,7,mae_da,expanding,huber,0.0033747006107091447
e1,AAPL,5,7,mae_da,expanding,pls,0.42634170235271956
e1,AAPL,5,7,mae_da,expanding,lgbm_reg,0.5168334989064234
e1,AAPL,5,7,mae_da,expanding,xgb,0.02892400603478731
e1,AAPL,5,8,mae_da,expanding,elasticnet,0.024654749350174112
e1,AAPL,5,8,mae_da,expanding,huber,0.004503902127533792
e1,AAPL,5,8,mae_da,expanding,pls,0.5867136942339124
e1,AAPL,5,8,mae_da,expanding,lgbm_reg,0.3702896720891095
e1,AAPL,5,8,mae_da,expanding,xgb,0.01383798219927023
e1,AAPL,5,9,mae_da,expanding,elasticnet,0.015354594962385927
e1,AAPL,5,9,mae_da,expanding,huber,0.0039426593625349815
e1,AAPL,5,9,mae_da,expanding,pls,0.6946873641701969
e1,AAPL,5,9,mae_da,expanding,lgbm_reg,0.2651646400729105
e1,AAPL,5,9,mae_da,expanding,xgb,0.020850741431971676
e1,AAPL,5,10,mae_da,expanding,elasticnet,0.014899002229229102
e1,AAPL,5,10,mae_da,expanding,huber,0.006183663933030675
e1,AAPL,5,10,mae_da,expanding,pls,0.7373024115859439
e1,AAPL,5,10,mae_da,expanding,lgbm_reg,0.23275616414621123
e1,AAPL,5,10,mae_da,expanding,xgb,0.008858758105585172
e1,AAPL,5,11,mae_da,expanding,elasticnet,0.015522304175692732
e1,AAPL,5,11,mae_da,expanding,huber,0.006304042201309878
e1,AAPL,5,11,mae_da,expanding,pls,0.7343279964628537
e1,AAPL,5,11,mae_da,expanding,lgbm_reg,0.23641121414242064
e1,AAPL,5,11,mae_da,expanding,xgb,0.007434443017722873
e1,AAPL,5,12,mae_da,expanding,elasticnet,0.0195580161667305
e1,AAPL,5,12,mae_da,expanding,huber,0.007731151679248385
e1,AAPL,5,12,mae_da,expanding,pls,0.8071167832967792
e1,AAPL,5,12,mae_da,expanding,lgbm_reg,0.16094671303783809
e1,AAPL,5,12,mae_da,expanding,xgb,0.004647335819403707
e1,AAPL,5,13,mae_da,expanding,elasticnet,0.018753527734477065
e1,AAPL,5,13,mae_da,expanding,huber,0.007508858787555694
e1,AAPL,5,13,mae_da,expanding,pls,0.8108987697431613
e1,AAPL,5,13,mae_da,expanding,lgbm_reg,0.15819261732734652
e1,AAPL,5,13,mae_da,expanding,xgb,0.00464622640745945
e1,AAPL,5,14,mae_da,expanding,elasticnet,0.018840888659228523
e1,AAPL,5,14,mae_da,expanding,huber,0.006527181798447774
e1,AAPL,5,14,mae_da,expanding,pls,0.762413792264717
e1,AAPL,5,14,mae_da,expanding,lgbm_reg,0.2065641759205695
e1,AAPL,5,14,mae_da,expanding,xgb,0.005653961357037332
e1,AAPL,5,0,mae_da,last3,elasticnet,0.2
e1,AAPL,5,0,mae_da,last3,huber,0.2
e1,AAPL,5,0,mae_da,last3,pls,0.2
e1,AAPL,5,0,mae_da,last3,lgbm_reg,0.2
e1,AAPL,5,0,mae_da,last3,xgb,0.2
e1,AAPL,5,1,mae_da,last3,elasticnet,0.01998733159280648
e1,AAPL,5,1,mae_da,last3,huber,0.0026350206917987434
e1,AAPL,5,1,mae_da,last3,pls,0.145286263167312
e1,AAPL,5,1,mae_da,last3,lgbm_reg,0.7065347931792145
e1,AAPL,5,1,mae_da,last3,xgb,0.12555659136886818
e1,AAPL,5,2,mae_da,last3,elasticnet,0.048418713842539235
e1,AAPL,5,2,mae_da,last3,huber,0.06536495062713191
e1,AAPL,5,2,mae_da,last3,pls,0.8227957487890769
e1,AAPL,5,2,mae_da,last3,lgbm_reg,0.06070892203143703
e1,AAPL,5,2,mae_da,last3,xgb,0.002711664709814699
e1,AAPL,5,3,mae_da,last3,elasticnet,0.005993285807804251
e1,AAPL,5,3,mae_da,last3,huber,0.0068974840737599016
e1,AAPL,5,3,mae_da,last3,pls,0.04721699292289608
e1,AAPL,5,3,mae_da,last3,lgbm_reg,0.681916476177817
e1,AAPL,5,3,mae_da,last3,xgb,0.25797576101772285
e1,AAPL,5,4,mae_da,last3,elasticnet,0.0036623026648766595
e1,AAPL,5,4,mae_da,last3,huber,0.01099540939790339
e1,AAPL,5,4,mae_da,last3,pls,0.362941899809723
e1,AAPL,5,4,mae_da,last3,lgbm_reg,0.5945860924241052
e1,AAPL,5,4,mae_da,last3,xgb,0.02781429570339178
e1,AAPL,5,5,mae_da,last3,elasticnet,0.004402343643249727
e1,AAPL,5,5,mae_da,last3,huber,0.007344146105878939
e1,AAPL,5,5,mae_da,last3,pls,0.0694673901775273
e1,AAPL,5,5,mae_da,last3,lgbm_reg,0.5132169505610259
e1,AAPL,5,5,mae_da,last3,xgb,0.40556916951231814
e1,AAPL,5,6,mae_da,last3,elasticnet,0.06660357237009805
e1,AAPL,5,6,mae_da,last3,huber,0.003449382110220302
e1,AAPL,5,6,mae_da,last3,pls,0.7087739644127312
e1,AAPL,5,6,mae_da,last3,lgbm_reg,0.2077111921790732
