ticker,horizon,model,n,mae,rmse,dir_acc,corr,spearman_ic,bias,base_rate,dir_acc_vs_base
JPM,5,lgbm_reg,3780,0.027195518486727962,0.03712655290823237,0.5177248677248677,0.07594415395192419,-0.014335197667277595,-0.0006020152535336866,0.5743386243386244,-0.05661375661375667
JPM,5,xgb,3780,0.028199228701721722,0.04007578180089633,0.5132275132275133,0.08251645839981203,0.00485712525873563,5.855590308095275e-05,0.5743386243386244,-0.061111111111111116
JPM,5,pls,3780,0.02822416406300304,0.03797791793326084,0.49603174603174605,0.054589054812267064,0.021833863131096073,-0.0041814884871783,0.5743386243386244,-0.07830687830687832
JPM,5,huber,3780,0.028243255364094,0.03817874166951204,0.515079365079365,0.10716003630142286,0.049959467786390876,0.001116267219188224,0.5743386243386244,-0.059259259259259345
JPM,5,lgbm,3780,0.028584337503892974,0.040347480288681854,0.5132275132275133,0.04876008655013796,-0.0029948504271014916,-0.00011946372389685506,0.5743386243386244,-0.061111111111111116
JPM,5,ridge,3780,0.030003111697453722,0.040283611082786955,0.5124338624338625,0.08221488451935996,0.044259145454092395,-0.0003960214722045879,0.5743386243386244,-0.06190476190476191
JPM,5,elasticnet,3780,0.030222620816429215,0.04062994185813771,0.5145502645502645,0.08360957351250962,0.044466808762656115,-3.752514432259771e-06,0.5743386243386244,-0.059788359788359835
JPM,21,hist_mean,3780,0.053027448805751616,0.07117829442314322,0.6198412698412699,-0.01960334534294441,-0.0360382393001066,-0.004527089306938335,0.6198412698412699,0.0
JPM,21,zero,3780,0.05470699794580196,0.07265980986807262,,,,-0.015658126838390695,0.6198412698412699,
JPM,21,lgbm_reg,3780,0.05556403969181296,0.07329907063511572,0.5275132275132275,0.10881970123281726,0.030963116675640723,-0.005517998163012563,0.6198412698412699,-0.09232804232804237
JPM,21,pls,3780,0.05730602519135325,0.07468736235652042,0.533068783068783,0.13946632463092198,0.11582270721641058,-0.013122088158348958,0.6198412698412699,-0.08677248677248683
JPM,21,xgb,3780,0.05897636474592585,0.07794859643087244,0.5301587301587302,0.0679532237051456,0.018965567563435946,-0.006673168937824594,0.6198412698412699,-0.0896825396825397
JPM,21,lgbm,3780,0.059902981917317265,0.0787069227906954,0.5169312169312169,0.0895391788020054,0.016700729879061724,-0.007776930928293554,0.6198412698412699,-0.10291005291005295
JPM,21,huber,3780,0.06018073010651161,0.07854132760075948,0.5465608465608466,0.17399418718764692,0.10926425041386414,8.301320768392435e-05,0.6198412698412699,-0.07328042328042328
JPM,21,ridge,3780,0.0620902014096643,0.08048934944977067,0.535978835978836,0.17926383592599765,0.11835645616008267,-0.004929553222772139,0.6198412698412699,-0.08386243386243386
JPM,21,elasticnet,3780,0.06335018868796824,0.08205109307340852,0.5394179894179895,0.18035235633194718,0.11783745502929856,-0.003969430411549169,0.6198412698412699,-0.0804232804232804
JPM,63,hist_mean,3780,0.09498433574342673,0.12306662224386053,0.6873015873015873,0.004014279656994074,0.0025557825125521066,-0.015761245329303654,0.6873015873015873,0.0
JPM,63,lgbm_reg,3780,0.1000634681917201,0.1269823694313221,0.5656084656084656,0.19700382305370556,0.10483821280349852,-0.017191865716000183,0.6873015873015873,-0.12169312169312174
JPM,63,zero,3780,0.10283928453316812,0.13035742499454644,,,,-0.04639803764186627,0.6873015873015873,
JPM,63,huber,3780,0.10561916956712566,0.1351480792430702,0.6116402116402117,0.2689169625355122,0.2484153445403236,-0.015935461179680546,0.6873015873015873,-0.07566137566137565
JPM,63,pls,3780,0.10595359270836577,0.13498062045048662,0.558994708994709,0.18010260140698905,0.149905303304678,-0.0390334225116932,0.6873015873015873,-0.12830687830687826
JPM,63,xgb,3780,0.10661600228759331,0.13366168075118645,0.5367724867724868,0.15411433695869503,0.07771548301994412,-0.021435782322418103,0.6873015873015873,-0.1505291005291005
JPM,63,ridge,3780,0.10707560815389439,0.1366312348127957,0.5873015873015873,0.2542350925599623,0.23394852939920044,-0.02349837237047861,0.6873015873015873,-0.09999999999999998
JPM,63,lgbm,3780,0.10710391268679587,0.13407197500383686,0.5259259259259259,0.1717582896071069,0.07778448896963065,-0.02212605963583328,0.6873015873015873,-0.1613756613756614
JPM,63,elasticnet,3780,0.10834358930397243,0.13799020221343541,0.587037037037037,0.2580627973946239,0.23665806864008587,-0.022445368797681428,0.6873015873015873,-0.10026455026455028
MSFT,5,hist_mean,3780,0.02429478661804579,0.032578939885625574,0.5838624338624339,0.0037555195198606833,-0.0012758992005642694,-0.0017820818279979925,0.5838624338624339,0.0
MSFT,5,zero,3780,0.024642250981779756,0.032836546744244945,,,,-0.004561983833065937,0.5838624338624339,
MSFT,5,lgbm_reg,3780,0.02466247112339203,0.03303118453199901,0.5574074074074075,0.0591542370363552,0.0694253474738874,-0.0026575471499726156,0.5838624338624339,-0.026455026455026398
MSFT,5,pls,3780,0.02468683227492936,0.03299916604807082,0.5611111111111111,0.07207316630550901,0.07741906378587977,-0.0030008599266812736,0.5838624338624339,-0.022751322751322745
MSFT,5,huber,3780,0.025212374029720565,0.03359693578824833,0.5388888888888889,0.04237297086059038,0.04757398951265586,-0.003144630999043809,0.5838624338624339,-0.044973544973545
MSFT,5,elasticnet,3780,0.02525489441141384,0.03376116237268905,0.5362433862433862,0.03959104520495025,0.048870979771798384,-0.00394818237400199,0.5838624338624339,-0.04761904761904767
MSFT,5,ridge,3780,0.025324260180147426,0.03389183905036942,0.5373015873015873,0.03298672272898888,0.044933766129147,-0.0038828512335076695,0.5838624338624339,-0.04656084656084658
MSFT,5,xgb,3780,0.025429724310964425,0.03411883798285596,0.5473544973544974,0.024642924939562015,0.053204044025969836,-0.0028207702849833267,0.5838624338624339,-0.03650793650793649
MSFT,5,lgbm,3780,0.025558299097705767,0.034306317589607824,0.5367724867724868,0.029605595952944718,0.05400292833468375,-0.003054784440032319,0.5838624338624339,-0.04708994708994707
MSFT,21,hist_mean,3780,0.04840388543901883,0.06265251784546999,0.632010582010582,0.005932316593486603,-0.010176106255681603,-0.007430872840113597,0.632010582010582,0.0
MSFT,21,zero,3780,0.05050791841345747,0.06483401975518027,,,,-0.01869410560968726,0.632010582010582,
MSFT,21,pls,3780,0.05138241371964109,0.0670762786375949,0.5595238095238095,-0.043120340476371595,0.012797747919944388,-0.011229274997309089,0.632010582010582,-0.07248677248677249
MSFT,21,lgbm_reg,3780,0.052292074518184656,0.06691056436221222,0.5280423280423281,-0.06656781046606325,-0.051771962053603036,-0.010171426473151049,0.632010582010582,-0.10396825396825393
MSFT,21,huber,3780,0.05321678591746678,0.06986965614206059,0.5492063492063493,-0.025712332300740694,0.0001787888446667989,-0.01150467366199577,0.632010582010582,-0.08280423280423277
MSFT,21,ridge,3780,0.05361556688424502,0.07056804912566667,0.5285714285714286,-0.029142381374230666,0.006468234758334545,-0.013487875922840878,0.632010582010582,-0.10343915343915344
MSFT,21,elasticnet,3780,0.05374165705974538,0.07069118208963222,0.5312169312169313,-0.026256536094079085,0.008534649083871812,-0.013723378433284262,0.632010582010582,-0.10079365079365077
MSFT,21,xgb,3780,0.05560925359035252,0.07209825496809774,0.515079365079365,-0.1286707325146447,-0.07725795226782418,-0.012445819687392893,0.632010582010582,-0.116931216931217
MSFT,21,lgbm,3780,0.05656079724814615,0.07298123947984791,0.4931216931216931,-0.11598811779598872,-0.08567589982179513,-0.01370198539006328,0.632010582010582,-0.1388888888888889
