source,ticker,horizon,model,n,mae,rmse,dir_acc,corr,spearman_ic,bias
e1,JPM,5,ens_equal_expanding,3780,0.027430383352405992,0.03730243054579167,0.5066137566137566,0.10354585119769283,0.03295247113028098,-0.0007224866265750138
e1,JPM,5,ens_inv_mae_expanding,3780,0.02739326165655634,0.03727548876838842,0.5055555555555555,0.10498228549687944,0.031289512416711025,-0.0005811343382903917
e1,JPM,5,ens_inv_mae_last3,3780,0.027398726536892962,0.03730264297127297,0.5026455026455027,0.1040518491793371,0.030893728571486288,-0.0005900817365389359
e1,JPM,5,ens_mae_da_expanding,3780,0.02793948117226014,0.037837470347372885,0.5108465608465609,0.09888375323775919,0.04639771290082139,0.0001289747607858667
e1,JPM,5,ens_mae_da_last3,3780,0.027887423756906757,0.03781822804717681,0.5296296296296297,0.10232152228698566,0.050266178037284094,0.000373081182544794
e1,JPM,5,ens_softmax_ic_expanding,3780,0.02837274673474629,0.03833239197969986,0.5095238095238095,0.08668188827290493,0.03617464149835275,-3.371949612157253e-05
e1,JPM,5,ens_softmax_ic_last3,3780,0.028329177088079763,0.038325994723010244,0.5063492063492063,0.08407044441969581,0.03256564171342183,-8.325765465144482e-05
e1,JPM,5,huber,3780,0.028243255364094,0.03817874166951204,0.515079365079365,0.10716003630142286,0.049959467786390876,0.001116267219188224
e1,JPM,5,lgbm_reg,3780,0.027195518486727962,0.03712655290823237,0.5177248677248677,0.07594415395192419,-0.014335197667277595,-0.0006020152535336866
e1,JPM,5,pls,3780,0.02822416406300304,0.03797791793326084,0.49603174603174605,0.054589054812267064,0.021833863131096073,-0.0041814884871783
e1,JPM,5,xgb,3780,0.028199228701721722,0.04007578180089633,0.5132275132275133,0.08251645839981203,0.00485712525873563,5.855590308095275e-05
e1,JPM,21,elasticnet,3780,0.06335018868796824,0.08205109307340852,0.5394179894179895,0.18035235633194718,0.11783745502929856,-0.003969430411549169
e1,JPM,21,ens_best_recent_expanding,3780,0.06209445533259791,0.08086194700501215,0.5378306878306879,0.14405551803422678,0.10240987433453852,-0.011111674190207534
e1,JPM,21,ens_best_recent_last3,3780,0.06169291894837111,0.07990833285943003,0.5325396825396825,0.15026118021994492,0.11867967992042573,-0.012385226368508124
e1,JPM,21,ens_equal_expanding,3780,0.056835515103067516,0.07421990396874294,0.532010582010582,0.16041441637929793,0.09083700811217656,-0.005839934492610273
e1,JPM,21,ens_inv_mae_expanding,3780,0.05659400086013404,0.07398762157967648,0.5298941798941799,0.1582822651237935,0.08952422748970562,-0.005682966547937938
e1,JPM,21,ens_inv_mae_last3,3780,0.05659059684262126,0.0739609425575187,0.5322751322751322,0.16082403427362427,0.09334364703952296,-0.005528778315766574
e1,JPM,21,ens_mae_da_expanding,3780,0.057555781639861185,0.07523690478014357,0.5280423280423281,0.1549602468246661,0.0888735239986349,-0.004166050894411183
e1,JPM,21,ens_mae_da_last3,3780,0.05818574544358851,0.07578654027877839,0.524074074074074,0.15833947599229622,0.09186119696969791,-0.003929431223032426
e1,JPM,21,ens_softmax_ic_expanding,3780,0.05849824938239544,0.07621714623601947,0.5365079365079365,0.1604305137323091,0.10036726109173412,-0.007357581227923101
e1,JPM,21,ens_softmax_ic_last3,3780,0.059193240337046045,0.07722001380589305,0.5357142857142857,0.16283561998166401,0.11302700861204928,-0.006896840424630397
e1,JPM,21,huber,3780,0.06018073010651161,0.07854132760075948,0.5465608465608466,0.17399418718764692,0.10926425041386414,8.301320768392435e-05
e1,JPM,21,lgbm_reg,3780,0.05556403969181296,0.07329907063511572,0.5275132275132275,0.10881970123281726,0.030963116675640723,-0.005517998163012563
e1,JPM,21,pls,3780,0.05730602519135325,0.07468736235652042,0.533068783068783,0.13946632463092198,0.11582270721641058,-0.013122088158348958
e1,JPM,21,xgb,3780,0.05897636474592585,0.07794859643087244,0.5301587301587302,0.0679532237051456,0.018965567563435946,-0.006673168937824594
e1,JPM,63,elasticnet,3780,0.10834358930397243,0.13799020221343541,0.587037037037037,0.2580627973946239,0.23665806864008587,-0.022445368797681428
e1,JPM,63,ens_best_recent_expanding,3780,0.10568283514221419,0.1352394628614033,0.6108465608465609,0.24928559130903277,0.23985709678023853,-0.01733202821355968
e1,JPM,63,ens_best_recent_last3,3780,0.10268079402895437,0.13226719874885512,0.6203703703703703,0.23928945414011638,0.22341333715436634,-0.010064897911999349
e1,JPM,63,ens_equal_expanding,3780,0.09931250257741307,0.12763225651648274,0.5894179894179894,0.24490711740679874,0.19719184708046655,-0.023208380105494687
e1,JPM,63,ens_inv_mae_expanding,3780,0.09991618217560992,0.1283886892162145,0.5888888888888889,0.24219238635339022,0.1986026546141518,-0.020609804330480284
e1,JPM,63,ens_inv_mae_last3,3780,0.09968390107172587,0.1280563992232176,0.5888888888888889,0.23950749226095938,0.1903406439600217,-0.019796682054288653
e1,JPM,63,ens_mae_da_expanding,3780,0.10387859064383584,0.13256942121703275,0.5997354497354498,0.251286352735155,0.23913103289605067,-0.01742568491309376
e1,JPM,63,ens_mae_da_last3,3780,0.10111760152560463,0.13032592218885006,0.5891534391534392,0.23157793290899725,0.18267939284962836,-0.015581315769330776
e1,JPM,63,ens_softmax_ic_expanding,3780,0.10547261080757578,0.13453134086799048,0.5986772486772487,0.24770274502755907,0.23387562921043997,-0.02041215257534992
