setup,ticker,horizon,model,n,mae,rmse,dir_acc,corr,spearman_ic,bias
market,JPM,21,pls,1512,0.06325796606092943,0.08221669749098505,0.5634920634920635,0.11228064973310567,0.06053133409164943,-0.0025025517713730865
market,JPM,21,xgb,1512,0.0654107554408375,0.0854053870732567,0.5218253968253969,0.0637677107182122,0.01803387276138233,0.002484350131766443
market,JPM,63,elasticnet,1512,0.1413001523129983,0.1744346976570638,0.5119047619047619,-0.0017053832564119236,-0.027158340141604967,-0.021023734748755737
market,JPM,63,huber,1512,0.13673662373079132,0.17312281331978036,0.4933862433862434,-0.06145329849176418,-0.0793715850892939,-0.02633548809217733
market,JPM,63,lgbm_reg,1512,0.11362109857155145,0.14271067176855007,0.5972222222222222,0.02999348073008802,0.03548639313440524,-0.02004275864014912
market,JPM,63,pls,1512,0.11727960948673866,0.14838919192191447,0.5826719576719577,-0.02391779552219879,-0.03208898825358513,-0.024945086078294886
market,JPM,63,xgb,1512,0.12296425299605768,0.15262339993010393,0.5985449735449735,0.05490131796759503,0.053074795158733035,-0.01223015443974053
market,MSFT,5,elasticnet,1512,0.02983915518472358,0.03916369266915121,0.5119047619047619,0.006826749036580121,0.0035539584106755976,0.0021242404741809
market,MSFT,5,huber,1512,0.02929032618839976,0.03832011094724874,0.5092592592592593,-0.008439080910143483,-0.026685321223326938,0.002369197655559597
market,MSFT,5,lgbm_reg,1512,0.028296371991086984,0.036888102884421785,0.5363756613756614,0.043014703768188965,0.03310496091839358,0.002058835516936476
market,MSFT,5,pls,1512,0.028324592013313776,0.036753011248372665,0.5416666666666666,0.07456919223395261,0.05001340755468996,0.0017236448320910394
market,MSFT,5,xgb,1512,0.028999948088468924,0.03831028675676689,0.5396825396825397,0.07378529036954608,0.06450285654408056,0.002792922072867886
market,MSFT,21,elasticnet,1512,0.06604752971779523,0.08500360297363893,0.5125661375661376,-0.035072031865313075,-0.039713037434527296,0.005415442195390962
market,MSFT,21,huber,1512,0.06505423336147685,0.08461881104277659,0.5152116402116402,-0.06018749415849411,-0.06475863495853058,0.005775160228356283
market,MSFT,21,lgbm_reg,1512,0.06149126545201081,0.07752506069941285,0.5383597883597884,-0.03423902918613371,-0.06621942902157034,0.008071506059587221
market,MSFT,21,pls,1512,0.05912179391451167,0.07544766158480189,0.5582010582010583,0.06711825303203724,0.05543377631344132,0.005565372137757322
market,MSFT,21,xgb,1512,0.0663249312600149,0.08443285101299385,0.5264550264550265,-0.0068351661666710495,-0.052319292810836,0.013922548352144319
market,MSFT,63,elasticnet,1512,0.12061199147055394,0.15140425947130046,0.5396825396825397,-0.16122929557106241,-0.17564920410171123,0.0030374005524143326
market,MSFT,63,huber,1512,0.12157345130942253,0.15300656271554075,0.5264550264550265,-0.2352850675796856,-0.22974108627083964,0.00429744353837809
market,MSFT,63,lgbm_reg,1512,0.11857725442034239,0.1506004600517346,0.6243386243386243,-0.25832943362414185,-0.265676403066482,0.03119225437185673
market,MSFT,63,pls,1512,0.11862112145383252,0.14920048066000033,0.5634920634920635,-0.20444891872275067,-0.16574516589454413,0.017260955375075746
market,MSFT,63,xgb,1512,0.12263079369441843,0.15688913617097955,0.6150793650793651,-0.21630118003709964,-0.20985087595618956,0.03733659147171804
market+sent,AAPL,5,elasticnet,1512,0.03197903811752231,0.04270401104681987,0.5317460317460317,0.05289094798451491,0.06666147944515045,-0.003391898036115711
market+sent,AAPL,5,huber,1512,0.03213777745931908,0.042811942510633236,0.5251322751322751,0.0876573054011808,0.07799784969498326,-0.0005397166577380608
market+sent,AAPL,5,lgbm_reg,1512,0.031459865082340735,0.04158234152745872,0.5304232804232805,0.11245595586080263,0.10536960119750872,-0.001489336464985833
